"fm_dt_durchgehenvortrag_hell.mpg";"der Professor geht den Vortrag noch mal im Stillen durch"
"mp_dt_produktkleinezielgruppe_hell.mpg";"das Produkt ist für eine sehr kleine Zielgruppe gedacht"
"fm_dt_ausholenweit_hell.mpg";"der Politiker muss in seiner Rede weit ausholen"
"mp_dt_drueckenstimmung_hell.mpg";"das schlechte Wetter drückt auf die Stimmung"
"fi_dt_drehtuer_hell.mpg";"das Gebäude besitzt eine Drehtür"
"fi_dt_schleudernfrisbee_hell.mpg";"der Jugendliche schleudert die Frisbeescheibe weg"
"mp_dt_abwaegenargumente_hell.mpg";"der Anwalt wägt die Argumente gegeneinander ab"
"fi_dt_pforteabsperren-x_hell.mpg";"der Chef sperrt das Büro ab"
"ik_dt_nachbarindick_hell.mpg";"die Nachbarin ist eine sehr dicke Frau"
"mp_dt_dieeinedieandere_hell.mpg";"das Einkaufen ist die eine Sache das Kochen die andere"
"ik_dt_handysleichter_hell.mpg";"die neuen Handys werden immer leichter"
"mp_dt_annaeherungdebatte_hell.mpg";"die Debatte führt zu einer Annäherung"
"mp_dt_sprunghaft-x_hell.mpg";"der Dichter hat sehr sprunghafte Gedankengänge"
"fi_dt_schiebedachaufziehen_hell.mpg";"das Schiebedach kann man nach hinten aufziehen"
"mp_dt_rechnerkompatibel_hell.mpg";"die Rechner sind kompatibel zueinander"
"fi_dt_schraubefliegen_hell.mpg";"der Kunst Pilot fliegt eine Schraube"
"ik_dt_schwimmensee_hell.mpg";"der Urlauber schwimmt durch den See"
"fm_dt_nebeneinander_hell.mpg";"die verschiedenen Meinungen existieren nebeneinander"
"mp_dt_richtungsweisendeerfolge-x_hell.mpg";"die Forschung hat richtungsweisende Fortschritte gemacht"
"mp_dt_unterteilt_hell.mpg";"die Vorstellung ist durch Pausen unterteilt"
"mp_dt_schrittfuerschritt_hell.mpg";"die Aufgabe muss Schritt für Schritt erklärt werden"
"fi_dt_saltosprungbrett-x_hell.mpg";"die Turnerin macht einen Salto vom Kasten"
"fi_dt_hinaufberg_hell.mpg";"die Wanderung führt auf den Berg hinauf"
"mp_dt_aufbauenkurse_hell.mpg";"die Fortbildung baut auf die vorherigen Kurse auf"
"fm_dt_ganzleerfussballfeld_hell.mpg";"das Fußballfeld ist wieder ganz leer"
"ik_dt_teilenportionen_hell.mpg";"die Küchenhilfe teilt den Nachtisch in zwei Portionen"
"fi_dt_rundesgefaess-x_hell.mpg";"die Edelsteine sind in einer runden Schachtel"
"fi_dt_schwingentaktstock_hell.mpg";"der Dirigent schwingt den Taktstock"
"fm_dt_weitergeben_hell.mpg";"der Teamleiter gibt das Lob an seine Kollegen weiter"
"fm_dt_indieserartdurchfuehren_hell.mpg";"der Künstler möchte seine Ideen in dieser Art umsetzen"
