"em_dt_stolzhaenderingen_hell.mpg";"der Rennfahrer ist stolz auf seinen Sieg"
"em_dt_strike_hell.mpg";"der Sportler freut sich über sein Erfolg"
"em_dt_telefonieren_hell.mpg";"die beiden Freundinnen telefonieren miteinander"
"em_dt_timeout_hell.mpg";"der Basketball Trainer verlangt ein Abpfiff"
"em_dt_trampen_hell.mpg";"die Studentin trampt an der Autobahn"
"em_dt_tratschen_hell.mpg";"die Nachbarinnen tratschen über ihre Männer"
"em_dt_trinken_hell.mpg";"die Besucherin bittet um etwas zu trinken"
"em_dt_uhrzeit_hell_bsp.mpg";"die Senioren erkundigt sich nach der Uhrzeit"
"em_dt_verrueckt_hell.mpg";"die Autofahrerin ist nicht ganz richtig im Kopf"
"em_dt_verschwiegenheit-extra_hell.mpg";"der Komplize darf das Versteck nicht preisgeben"
"em_dt_verschwiegenheit_hell.mpg";"die Freundin darf das Geheimnis nicht preisgeben"
"em_dt_victory_hell.mpg";"der Boxer geht als Sieger aus dem Kampf hervor"
"em_dt_vogelzeigen_hell.mpg";"der Autofahrer bezeichnet den anderen als Idioten"
"em_dt_wegschicken-extra_hell.mpg";"die Professorin schickt ihre Studenten weg"
"em_dt_wegschicken_hell.mpg";"die Königin schickt ihren Diener weg"
"em_dt_winken_hell.mpg";"die Kinder verabschieden ihre Großmutter"
"fe_dt_abwehren-extra_hell.mpg";"die Urlauberin wehrt die Verkäufer ab"
"fe_dt_alktrinken_hell.mpg";"die Jugendlichen trinken gerne Alkohol"
"fe_dt_anruferbeten_hell.mpg";"das Mädchen bittet die Freundin um einen Anruf"
"fe_dt_applaus-extra_hell.mpg";"der Jurist hat seinen Samen mit Bravour bestanden"
"fe_dt_applaus_hell.mpg";"der Schüler hat seine Prüfung mit Bravour bestanden"
"fe_dt_auffordern_hell.mpg";"die Moderatorin fordert den Herrn auf zu beginnen"
"fe_dt_aufstehen_hell.mpg";"der Lehrer lässt die Schüler zur Begrüßung aufstehen"
"fe_dt_beruhigen_hell.mpg";"die Lehrerin fordert die Schüler zur Ruhe auf"
"fe_dt_brettvorkopf-extra_hell.mpg";"der Jugendliche erkennt endlich die Situation"
"fe_dt_brettvorkopf_hell.mpg";"das Geburtstagskind erkennt endlich sein Geschenk"
"fe_dt_daeumchendrehen_hell.mpg";"die ZuhörerInnen langweilt sich sehr"
"fe_dt_daumendrauf_hell.mpg";"die Eltern haben auf der Kindererziehung den Daumen drauf"
"fe_dt_daumendruecken_hell.mpg";"die Schwester wünscht ihrer Freundin viel Glück"
"fe_dt_daumenhoch_hell.mpg";"der Fahrer signalisiert dass alles in Ordnung ist"
"fe_dt_daumenlob_hell.mpg";"der Trainer lobt das Abschneiden seines Teams"
"fe_dt_daumenrunter_hell.mpg";"die Schauspielerin hat nicht gut gespielt"
"fe_dt_desinteresse_hell.mpg";"die Meinung der Mutter interessiert die Tochter nicht"
"fe_dt_drohen-extra_hell.mpg";"der Vorstand droht der Abteilung Sanktionen an"
"fe_dt_drohen_hell.mpg";"der Politiker droht dem Gegner Sanktionen an"
"fe_dt_egalnachlaessigkeit_hell.mpg";"dem Jungen ist seine Nachlässigkeit egal"
"fe_dt_ermahnen_hell.mpg";"der Bischof ermahnt die Gläubigen"
"fe_dt_gefaehrlich_hell.mpg";"die Chefin findet das Vorhaben gefährlich"
"fe_dt_gelassenheit_hell.mpg";"der Vorgesetzte mahnt zu mehr Gelassenheit"
"fe_dt_gruessen_hell.mpg";"der Rentner grüßt die Marktfrau im Vorübergehen"
"fe_dt_haendegebunden_hell.mpg";"den Beamten sind die Hände gebunden"
"fe_dt_handschuetteln_hell.mpg";"der Kanzler reicht dem Präsidenten die Hand"
"fe_dt_herwinken_hell.mpg";"die Kindergärtnerin winkt die Kinder zu sich her"
"fe_dt_hochnaesig_hell.mpg";"die Gräfin ist eine hochnäsige Person"
"fe_dt_lauter_hell.mpg";"der Dirigent lässt die Musiker lauter spielen"
"fe_dt_melden_hell.mpg";"die Schülerin meldet sich eifrig"
"fe_dt_nichtwissen_hell.mpg";"der Junge weiß die richtige Antwort nicht"
"fe_dt_peace-extra_hell.mpg";"die studenten demonstrieren für den Frieden"
"fe_dt_peace_hell.mpg";"der Pazifist kämpft für den Frieden"
"fe_dt_pimaldaumen_hell.mpg";"die Architektin schätzt das Alter des Hauses"
"fe_dt_pistole_hell.mpg";"der Ganove schießt auf seine Verfolger"
"fe_dt_salutieren_hell.mpg";"der Soldat salutiert dem Staatsbesuch"
"fe_dt_schadenfreude_hell.mpg";"der Bengel zeigt seine Schadenfreude"
"fe_dt_schlechthoeren_hell.mpg";"die Oma versteht den jungen sehr schlecht"
"fe_dt_schulterzucken_hell.mpg";"die Tante kann den Fremden leider nicht helfen"
"fe_dt_schwoeren_hell.mpg";"der Angeklagte schwört die Wahrheit zu sagen"
"fe_dt_setzen_hell.mpg";"die Schüler dürfen sich widersetzen"
"fe_dt_stinkefinger_hell.mpg";"der Fußballspieler beschimpft den Schiedsrichter"
"fe_dt_stolzhaenderingen_hell.mpg";"der Rennfahrer ist stolz auf sein Sieg"
"fe_dt_strike_hell.mpg";"der Sportler freut sich über sein Erfolg"
"fe_dt_telefonieren_hell.mpg";"die beiden Freundinnen telefonieren miteinander"
"fe_dt_timeout_hell.mpg";"der Basketball Trainer verlangt einen Abpfiff"
"fe_dt_trampen_hell.mpg";"die Studentin trampt an der Autobahn"
"fe_dt_tratschen_hell.mpg";"die Nachbarinnen tratschen über ihre Männer"
"fe_dt_trinken_hell_bsp.mpg";"die Besucherin bittet um etwas zu trinken"
"fe_dt_uhrzeit_hell.mpg";"die Senioren erkundigt sich nach der Uhrzeit"
"fe_dt_verrueckt_hell.mpg";"die Autofahrerin ist nicht ganz richtig im Kopf"
"fe_dt_verschwiegenheit-extra_hell.mpg";"der Komplize darf das Versteck nicht preisgeben"
"fe_dt_verschwiegenheit_hell.mpg";"die Freundin darf das Geheimnis nicht preisgeben"
"fe_dt_victory_hell.mpg";"der Boxer geht als Sieger aus dem Kampf hervor"
"fe_dt_vogelzeigen_hell.mpg";"der Autofahrer bezeichnet den anderen als Idioten"
"fe_dt_wegschicken-extra_hell.mpg";"die Professorin schickt ihre Studenten weg"
"fe_dt_wegschicken_hell.mpg";"die Königin schickt ihren Diener weg"
"fe_dt_winken_hell.mpg";"die Kinder verabschieden ihre Großmutter"
"fi_dt_anschiebenauto_hell.mpg";"die Passanten helfen das Auto anzuschieben"
"fi_dt_ausholen-x_hell.mpg";"der Sportler holt weit aus um die Kugel zu werfen"
"fi_dt_ballrollthinunter_hell.mpg";"der Ball rollt den Abhang hinunter"
"fi_dt_buchdurchblaettern_hell.mpg";"die Studenten blättert das Buch durch"
"fi_dt_cellokorpus_hell.mpg";"das Cello hat einen geschwungenen Korpus"
"fi_dt_dachboden_hell.mpg";"die Klappe zum Dachboden muss man mit beiden Händen aufdrücken"
"fi_dt_datumnotieren_hell.mpg";"die Sekretärin notiert sich das Datum"
"fi_dt_drehtuer_hell.mpg";"das Gebäude besitzt eine Drehtür"
"fi_dt_dreieckigeslogo-x_hell.mpg";"das Gebäude hat ein dreieckiges Fenster"
"fi_dt_elefantgross_hell.mpg";"der Elefant ist ein großes Tier"
"fi_dt_fernsteuerung_hell.mpg";"der Neffe steuert sein Auto mit der Fernsteuerung"
"fi_dt_gewoelbtesdach_hell.mpg";"die Turnhalle hat ein gewölbtes Dach"
"fi_dt_grosserfisch_hell.mpg";"der Angler fängt ein großen Fisch"
"fi_dt_handtuchauswringen_hell.mpg";"die Putzfrau bringt das nasse Handtuch aus"
"fi_dt_handysleichter_hell.mpg";"die neuen Handys werden immer leichter"
"fi_dt_hauszelt_hell.mpg";"die Familie übernachtet in einem Hauszelt"
"fi_dt_heftetmagnetwand_hell_bsp.mpg";"die Sekretärin heftet alles an die Magnetwand"
"fi_dt_henkelgross_hell.mpg";"die Suppenschüssel hat einen großen Henkel"
"fi_dt_hinaufberg_hell.mpg";"die Wanderung führt auf den Berg hinauf"
"fi_dt_hochhebenmedball_hell.mpg";"der Sportlehrer hebt einen Medizinball hoch"
"fi_dt_huegeliglandschaft_hell.mpg";"die Landschaft hier ist eher hügelig"
"fi_dt_kabeldiagonal-x_hell.mpg";"der Riss verläuft diagonal über die Fensterscheibe"
"fi_dt_kindbisabgrund_hell.mpg";"das Kind rennt bis zum Abgrund"
"fi_dt_kreisenflugzeug_hell.mpg";"das Flugzeug kreist über der Landebahn"
"fi_dt_kreisfoermigerspot_hell.mpg";"der Scheinwerfer wirft einen kreisförmigen Spot auf den Boden"
"fi_dt_krummerbuckel_hell.mpg";"die Großmutter hat einen krummen Buckel"
"fi_dt_kuesterlaeutet_hell.mpg";"der Küster läutet die Glocke"
"fi_dt_kurbelndrehorgel_hell.mpg";"die schaustellerin kurbelt an der Drehorgel"
"fi_dt_mixencocktail_hell.mpg";"der Barkeeper mixt ein Cocktail"
"fi_dt_nachbarindick_hell.mpg";"die Nachbarin ist eine sehr dicke Frau"
"fi_dt_oeffnenkeksdose_hell.mpg";"die Schwester öffnet die Keksdose"
"fi_dt_pforteabsperren-x_hell.mpg";"der Chef sperrt das Büro ab"
"fi_dt_rundesgefaess-x_hell.mpg";"die Edelsteine sind in einer runden Schachtel"
"fi_dt_rundesgefaess_hell.mpg";"die Kartoffeln sind in einem runden Gefäß"
"fi_dt_saltosprungbrett-x_hell.mpg";"die Turnerin macht einen Salto vom Kasten"
"fi_dt_schafabseits_hell.mpg";"das schwarze Schaf steht abseits der Herde"
"fi_dt_schalten5tengang_hell.mpg";"der Fahrer schaltet in den fünften Gang"
"fi_dt_schiebedachaufziehen_hell.mpg";"das Schiebedach kann man nach hinten aufziehen"
"fi_dt_schlagengong_hell.mpg";"der Buddhist schlägt auf den Gong"
"fi_dt_schlangenlinien_hell.mpg";"der Fahrradfahrer fährt Schlangenlinien"
"fi_dt_schleudernfrisbee_hell.mpg";"der Jugendliche schleudert die Frisbeescheibe weg"
"fi_dt_schleudernwaesche_hell.mpg";"die Wäsche wird in der Waschmaschine geschleudert"
"fi_dt_schliessentueren_hell.mpg";"das Zimmermädchen schließt die Türen"
"fi_dt_schmalerschlitz_hell.mpg";"der Briefkasten hat einen schmalen Schlitz"
"fi_dt_schmalersteg_hell.mpg";"der Steg über den Bach ist schmal"
"fi_dt_schneidenzwiebeln_hell.mpg";"die Köchin schneidet die Zwiebeln in Würfel"
"fi_dt_schraubefliegen_hell.mpg";"der Kunst Pilot fliegt eine Schraube"
"fi_dt_schraubenleiste_hell.mpg";"der Mechaniker schraubt die Leiste fest"
"fi_dt_schwimmensee_hell.mpg";"der Urlauber schwimmt durch den See"
"fi_dt_schwingentaktstock_hell.mpg";"der Dirigent schwingt den Taktstock"
"fi_dt_schwungrock_hell.mpg";"das Kleid hat einen geschwungenen Rock"
"fi_dt_segelnzuboden_hell.mpg";"das Blatt segelt im Wind zu Boden"
"fi_dt_servierenkaffee_hell.mpg";"die Kellnerin serviert ein Kaffee"
"fi_dt_spieluhraufziehen_hell.mpg";"die große Schwester zieht die Spieluhr auf"
"fi_dt_spritze_hell.mpg";"die Patientin bekommt eine Spritze in den Arm"
"fi_dt_strudelabfluss_hell.mpg";"das Badewasser bildet einen Strudel über dem Abfluss"
"fi_dt_teilenportionen_hell.mpg";"die Küchenhilfe teils den Nachtisch in 2 Portionen"
"fi_dt_trainerwaehltspieleraus_hell.mpg";"der Trainer wählt die Spieler aus"
"fi_dt_ueberschlagenwagen_hell.mpg";"der Wagen überschlägt sich auf der Straße"
"fi_dt_umschaltenfernbed_hell.mpg";"der Sohn schaltet das Programm mit der Fernbedienung um"
"fi_dt_wasserpistolen-x_hell.mpg";"die Jugendlichen spielen mit Spielzeugpistolen"
"fi_dt_wasserpistolen_hell.mpg";"die Jungen spielen mit Wasserpistolen"
"fi_dt_wendeltreppe_hell.mpg";"die Treppe nach oben ist eine Wendeltreppe"
"fi_dt_wiegengewicht_hell.mpg";"die Kundin prüft welche Frucht schwerer ist"
"fi_dt_zackensaegeblatt_hell.mpg";"das Sägeblatt der Kreissäge hat große Zacken"
"fi_dt_zahnraeder_hell.mpg";"die Zahnräder greifen ineinander"
"fi_dt_zeigenbrosche_hell.mpg";"der Goldschmied zeigt sein Groschen Sortiment"
"fi_dt_zerdrueckenschrott_hell.mpg";"das Auto wird in der Schrottpresse zerdrückt"
"fi_dt_zusammenkleben_hell.mpg";"die Kindergärtnerin klebt zwei Schachteln zusammen"
"fi_dt_zusammenschieben_hell.mpg";"der Musiker schiebt das Akkordeon zusammen"
"fm_dt_abwaegenargumente_hell.mpg";"der Anwalt wägt die Argumente gegeneinander ab"
"fm_dt_anknuepfen_hell.mpg";"der Vortrag knüpft an die Thematik an"
"fm_dt_annaeherungdebatte_hell.mpg";"die Debatte führt zu einer Annäherung"
"fm_dt_anpassen-x_hell.mpg";"die Urlauber müssen sich der Landeskultur anpassen"
"fm_dt_aufbauenkurse_hell.mpg";"die Fortbildung baut auf die vorherigen Kurse auf"
"fm_dt_auseinanderdriften_hell.mpg";"die Einstellungen driften auseinander"
"fm_dt_ausholenweit_hell.mpg";"der Politiker muss in seiner Rede weit ausholen"
"fm_dt_aussendensignal_hell.mpg";"der Funkturm sendet das Signal aus"
"fm_dt_autorvision_hell.mpg";"der Autor hat eine Vision der Hauptrolle"
"fm_dt_befehlvonoben_hell_bsp.mpg";"der Befehl kommt von ganz oben"
"fm_dt_beginntallmaehlich_hell.mpg";"das Problem beginnt allmählich kompliziert zu werden"
"fm_dt_begrenztressourcen_hell.mpg";"die Ressourcen sind leider sehr begrenzt"
"fm_dt_besseralsdieandere_hell.mpg";"die eine Veranstaltung ist besser als die andere"
"fm_dt_bestaetigtgesamtkonzept_hell.mpg";"die Forschung bestätigt das Gesamtkonzept"
"fm_dt_breitesfeldumfassen_hell.mpg";"die Thematik umfasst ein sehr breites Feld"
"fm_dt_chefkonsequenthandeln_hell.mpg";"der Firmenchef will ganz konsequent handeln"
"fm_dt_dazwischenirgendwo_hell.mpg";"die Erklärung muss irgendwo dazwischen liegen"
"fm_dt_demonstrantenrandgruppe_hell.mpg";"die Demonstranten gehören zu einer Randgruppe"
"fm_dt_dialogkonfrontation_hell.mpg";"der Dialog führt zur Konfrontation"
"fm_dt_dieeinedieandere_hell.mpg";"das Einkaufen ist die eine Sache das Kochen die andere"
"fm_dt_distanzierenvoneinander_hell.mpg";"die Parteien distanzieren sich voneinander"
"fm_dt_drueckenstimmung_hell.mpg";"das schlechte Wetter drückt auf die Stimmung"
"fm_dt_durchdrehenangeklagte_hell.mpg";"der Angeklagte ist kurz vorm durchdrehen"
"fm_dt_durchgehenvortrag_hell.mpg";"der Professor geht den Vortrag noch mal im Stillen durch"
"fm_dt_eingeengtfuehlen_hell.mpg";"die Malerin fühlt sich in ihrer Arbeit eingeengt"
"fm_dt_einleitunghauptteilgetrennt_hell.mpg";"die Einleitung ist vom Hauptteil getrennt"
"fm_dt_engdefiniert_hell.mpg";"der Begriff ist sehr eng definiert"
"fm_dt_entscheidenzwischen_hell.mpg";"das Mädchen kann sich nicht zwischen den Kursen entscheiden"
"fm_dt_erweiternhilfeplan_hell.mpg";"der Hilfeplan soll erweitert werden"
"fm_dt_ganzleerfussballfeld_hell.mpg";"das Fußballfeld ist wieder ganz leer"
"fm_dt_ganzschoenstrapaziert-x_hell.mpg";"das Wohlwollen des Chefs ist ganz schön strapaziert"
"fm_dt_gemeinschaftbilden_hell.mpg";"die Schüler bilden eine Gemeinschaft"
"fm_dt_handlungverwoben_hell.mpg";"die Handlungsstränge sind ineinander verwoben"
"fm_dt_hypothesenverwerfen-x_hell.mpg";"der junge Mann verwirft sein Vorhaben"
"fm_dt_ideennichtgebrauchen_hell.mpg";"die Ideen sind leider nicht zu gebrauchen"
"fm_dt_immerwiedervonvorne_hell.mpg";"die Diskussion fängt immer wieder von vorne an"
"fm_dt_indieserartdurchfuehren_hell.mpg";"der Künstler möchte seine Ideen in dieser Art umsetzen"
"fm_dt_komprimiertegeschichte_hell.mpg";"die Erzählung ist eine komprimierte Geschichte"
"fm_dt_maedchenjungsvoraus_hell.mpg";"die Mädchen sind den Jungen immer etwas voraus"
"fm_dt_nebeneinander_hell.mpg";"die verschiedenen Meinungen existieren nebeneinander"
"fm_dt_nichtvieldazu_hell.mpg";"der Zeuge hat eigentlich nicht viel dazu zu sagen"
"fm_dt_niveauanders_hell.mpg";"die Mieten bewegen sich auf einem anderen Niveau"
"fm_dt_onkelsteigtauf_hell.mpg";"der Onkel steigt in der Firma stetig auf"
"fm_dt_produktkleinezielgruppe_hell.mpg";"das Produkt ist für eine sehr kleine Zielgruppe gedacht"
"fm_dt_rechnerkompatibel_hell.mpg";"die Rechner sind kompatibel zueinander"
"fm_dt_richtungsweisendeerfolge-x_hell.mpg";"die Forschung hat richtungsweisende Fortschritte gemacht"
"fm_dt_schlussstrich_hell.mpg";"der Jugendliche zieht einen Schlussstrich"
"fm_dt_schnellentscheiden_hell.mpg";"die Helden ist bereit sich schnell zu entscheiden"
"fm_dt_schrittfuerschritt_hell.mpg";"die Aufgabe muss Schritt für Schritt erklärt werden"
"fm_dt_schrumpfen_hell.mpg";"das Einkommen schrumpft seit Jahren"
"fm_dt_schrupfen_hell.mpg";"das Einkommen schrumpft seit Jahren"
"fm_dt_schwammig_hell.mpg";"die Aussage des Zeugen ist sehr schwammig"
"fm_dt_sprunghaft-x_hell.mpg";"der Dichter hat sehr sprunghafte Gedankengänge"
"fm_dt_standpunktklarmachen_hell.mpg";"der Referent macht seinen Standpunkt klar"
"fm_dt_stimmungschaukelthoch_hell.mpg";"die Stimmung schaukelt sich allmählich hoch"
"fm_dt_straeubtsich_hell.mpg";"die Vermieterin sträubt sich gegen den neuen Mieter"
"fm_dt_stuermisch_hell.mpg";"der Knabe hat ein stürmisches Gemüt"
"fm_dt_tierfilmreihe_hell.mpg";"der Sohn sieht einen Beitrag aus der Tierfilm Reihe"
"fm_dt_ueberbieten-x_hell.mpg";"die Pokerspieler überbieten sich gegenseitig"
"fm_dt_ueberbieten_hell.mpg";"die Aktionäre überbieten sich immer wieder"
"fm_dt_untergeordnet-x_hell.mpg";"das Rudel ist dem Leitwolf untergeordnet"
"fm_dt_unterteilt_hell.mpg";"die Vorstellung ist durch Pausen unterteilt"
"fm_dt_variirenvonzu_hell.mpg";"die Zubereitung des Essens variiert von Koch zu Koch"
"fm_dt_vereinzelt_hell.mpg";"die Symptome finden sich nur vereinzelt wieder"
"fm_dt_verinnerlichen-x_hell.mpg";"der Student verinnerlicht das komplizierte Thema"
"fm_dt_verinnerlichen_hell.mpg";"der Anfänger verinnerlicht die gelernten Regeln"
"fm_dt_verschiedenegesinnungen_hell.mpg";"die verschiedenen Gesinnungen sind im ganzen Land vertreten"
"fm_dt_wechselhaftbefinden_hell.mpg";"das Befinden ist sehr wechselhaft"
"fm_dt_weitergeben_hell.mpg";"der Teamleiter gibt das Lob an seine Kollegen weiter"
"fm_dt_widerspruecheverstrickt_hell.mpg";"der Täter verstrickt sich in Widersprüche"
"fm_dt_worterteilen-x_hell.mpg";"der Lehrer erteilt dem Schüler das Wort"
"fm_dt_worterteilen_hell.mpg";"der Moderator erteilt den Politiker das Wort"
"fm_dt_zitterndestimme_hell.mpg";"das Opfer spricht mit zitternder Stimme"
"fm_dt_zunehmenanforderungen-x_hell.mpg";"die Ansprüche der Kinder nehmen langsam zu"
"fm_dt_zunehmenanforderungen_hell.mpg";"die Anforderungen an die Lehrlinge nehmen zu"
"fm_dt_zusammenenger_hell.mpg";"die Behörden sollen enger zusammenarbeiten"
"fm_dt_zweiseiten_hell.mpg";"die Lösung hat leider auch zwei Seiten"
"ft_dt_angestellteheftet_hell.mpg";"die Angestellte heftet die Rechnungen zusammen"
"ft_dt_arztzieht_hell.mpg";"der Arzt zieht den Splitter mit einer Pinzette raus"
"ft_dt_astronombeobachtet_hell.mpg";"der Astronom beobachtet die Sterne"
"ft_dt_baeuerindreht_hell.mpg";"die Bäuerin dreht den Pfannkuchen um"
"ft_dt_bardameentkorkt_hell.mpg";"die Bardame entkorkt die Weinflasche"
"ft_dt_bauarbeiterschaufelt_hell.mpg";"der Bauarbeiter schaufelt den Dreck weg"
"ft_dt_bauersaegt_hell.mpg";"der Bauer sägt den Baumstamm ab"
"ft_dt_bedienungschoepft_hell.mpg";"die Bedienung schöpft Suppe in den Teller"
"ft_dt_bodenlegerschneidet_hell.mpg";"der Bodenleger schneidet den Teppich ab"
"ft_dt_bogenschuetzespannt_hell.mpg";"der Bogenschütze spannt den Bogen"
"ft_dt_damefaechelt_hell.mpg";"die Dame fächelt sich frische Luft zu"
"ft_dt_detektivbetrachtet_hell.mpg";"der Detektiv betrachtet den Fleck mit der Lupe"
"ft_dt_empfaengeroeffnet_hell.mpg";"der Empfänger öffnet das Briefkuvert"
"ft_dt_enkelkindputzt_hell.mpg";"das Enkelkind putzt sich die Zähne"
"ft_dt_feriengastrudert_hell.mpg";"der Feriengast rudert das Boot voran"
"ft_dt_floristingiesst_hell.mpg";"die Floristin gießt die Blumen"
"ft_dt_gaertnerinpumpt_hell.mpg";"die Gärtnerin pumpt Wasser in die Gießkanne"
"ft_dt_gastwirtwendet_hell.mpg";"der Gastwirt wendet das Schnitzel in der Pfanne"
"ft_dt_geigerinuebt_hell.mpg";"die Geigerin übt ein Musikstück ein"
"ft_dt_grossmuttertrinkt_hell.mpg";"die Großmutter trinkt einen Kaffee"
"ft_dt_hausfraubuegelt_hell.mpg";"die Hausfrau bügelt ein Herrenhemd"
"ft_dt_hausmeisterschneidet_hell.mpg";"der Hausmeister schneidet die Hecke"
"ft_dt_jaegerschiessthasen_hell.mpg";"der Jäger schießt auf den Hasen"
"ft_dt_jungespitzt_hell.mpg";"der Junge spitzt seinen Bleistift an"
"ft_dt_kajakfahrerinpaddelt_hell.mpg";"die Kayak Fahrerin paddelt kräftig"
"ft_dt_kellnerinoeffnet_hell.mpg";"die Kellnerin öffnet die Bierflasche"
"ft_dt_kindtrinkt_hell.mpg";"das Kind trinkt ein Glas Limonade"
"ft_dt_kochschneidet_hell.mpg";"der Koch schneidet den Schnittlauch"
"ft_dt_kuechenhilfeoeffnet_hell.mpg";"die Küchenhilfe öffnet die Mais Dose"
"ft_dt_kuechenjungehackt_hell.mpg";"der Küchenjunge hackt das Fleisch"
"ft_dt_kuechenmaedchenraspelt_hell.mpg";"das Küchenmädchen raspelt das Gemüse"
"ft_dt_kuenstlerinmalt_hell.mpg";"die Künstlerin malt ein Aquarell"
"ft_dt_maedchenfeilt_hell.mpg";"das Mädchen feilt sich die Fingernägel"
"ft_dt_malerstreicht_hell.mpg";"der Maler streicht die Wände an"
"ft_dt_mechanikerpumpt_hell.mpg";"der Mechaniker pumpt das Fahrrad auf"
"ft_dt_metzgerfleischwolf_hell.mpg";"der Metzger dreht das Fleisch durch den Fleischwolf"
"ft_dt_mutterabtropfen_hell.mpg";"die Mutter lässt den Salat abtropfen"
"ft_dt_nachbarinklopft_hell.mpg";"die Nachbarin klopft den Teppich aus"
"ft_dt_nichtegiesst_hell.mpg";"die Nichte gießt Milch in das Glas"
"ft_dt_obertraegt_hell_bsp.mpg";"der Opa trägt die Getränke herbei"
"ft_dt_omastrickt_hell.mpg";"die Oma strickt fleißig einen Pullover"
"ft_dt_postbeamtinstempelt_hell.mpg";"die Postbeamten stempelt die Briefmarken ab"
"ft_dt_prinzessinbuerstet_hell.mpg";"die Prinzessin bürstet sich die Haare"
"ft_dt_putzfraukehrt_hell.mpg";"die Putzfrau kehrt das Treppenhaus"
"ft_dt_raucherzeundet_hell.mpg";"der Raucher zündet sich eine Zigarette an"
"ft_dt_raucherzuendet_hell.mpg";"der Raucher zündet sich eine Zigarette an"
"ft_dt_schmiedhaemmert_hell.mpg";"der Schmied hämmert auf die Metallplatte"
"ft_dt_schneiderbuerstet_hell.mpg";"der Schneider bürstet den Mantel ab"
"ft_dt_schreibkrafttippt_hell.mpg";"die Schreibkraft tippt einen Brief ab"
"ft_dt_schreinerhobelt_hell.mpg";"der Schreiner hobelt ein Brett"
"ft_dt_schuelerinradiert_hell.mpg";"die Schülerin radiert die Notizen weg"
